Id,avg_Cyan,avg_Red,avg_Yellow,avg_TopGreen,centroid_X,centroid_Y,Area,Eccentricity,Perimeter,min_Feret_Diameter (pixels),min_Feret_Diameter (microns),counter_Cyan,counter_Red,counter_Yellow,counter_Green,marking_Cyan,marking_Red,marking_Yellow,marking_Green
181,8.158509609,13.4431771,10.29213328,2.595715273,654.4841698,179.2765796,14466,0.663944597,659.2274888,125,48.828125,0,0,0,0,0,0,0,0
199,10.02162235,58.15592264,6.791565941,2.711409396,170.5737309,133.1445071,7446,0.749141631,482.1147904,84.98041764,33.19547564,0,1,0,0,0,0,0,0
216,7.037800687,22.30562715,10.36834192,2.403433476,512.5320017,135.3056271,4656,0.569854525,379.646753,75.92436785,29.65795619,0,0,0,0,0,0,0,0
242,9.803404723,11.99835255,21.49917628,3.027322404,1015.98078,180.8308622,1821,0.982697431,307.0954544,21,8.203125,0,0,1,0,0,0,0,0
254,5.653891279,20.68685401,7.555058942,2.068715084,453.8855243,67.43253813,17899,0.746094669,729.2274888,144.2109351,56.33239651,0,0,0,0,0,0,0,0
282,10.30900243,18.83698297,5.571776156,2.547619048,214.5036496,157.2603406,411,0.466311634,119.882251,24.25370557,9.474103737,0,0,0,0,0,0,0,0
299,48.49520767,12.30883919,25.36767838,3.561170213,20.48162939,185.6962194,3756,0.895267315,329.3797257,48,18.75,1,0,1,0,0,0,0,0
333,12.11583012,16.2546332,18.14382239,3.649517685,529.6391892,245.7763835,15540,0.758627079,754.4650788,134.5197959,52.54679526,0,0,1,0,0,0,0,0
367,20.41006572,39.89882394,10.03804912,3.381692573,186.0421999,214.9187132,5782,0.60203562,546.256926,91.81915064,35.86685572,1,1,0,0,0,0,0,0
413,11.63220199,14.34464674,9.653330336,2.922097378,864.1196524,173.703379,13347,0.765474287,608.9259736,116.2949298,45.42770697,0,0,0,0,0,0,0,0
469,9.278727672,100.4541026,7.384754991,2.698185291,920.6710288,274.2416659,10469,0.608373911,632.5828278,106.6922998,41.67667962,0,1,0,0,0,0,0,0
493,10.95919303,14.48418157,52.32508024,4.225658648,403.2791151,276.6632279,8724,0.664608716,609.6538957,111.9966196,43.74867955,0,0,1,0,0,0,0,0
495,8.267576792,90.6116041,7.26894198,2.502272727,987.039818,328.7531286,4395,0.642551766,402.4751801,72.46755244,28.30763767,0,1,0,0,0,0,0,0
506,43.10165638,15.83533615,21.30756739,3.230519481,33.93959078,261.7827217,3079,0.873484346,287.3208512,53.06869387,20.72995854,1,0,1,0,0,0,0,0
527,15.24213984,68.9399343,13.52041295,4.018735363,634.0361333,292.9317222,4262,0.811468775,306.391919,58.37697497,22.80350585,0,1,0,0,0,0,0,0
558,29.56735137,9.852656528,8.357693067,2.683119447,36.50878926,352.8686549,10126,0.808986437,503.9482682,90,35.15625,1,0,0,0,0,0,0,0
581,11.38150771,17.94169096,24.19241983,3.684647303,567.4602249,336.8633903,2401,0.78735388,272.8772004,47.78150633,18.66465091,0,0,1,0,0,0,0,0
585,38.0666201,16.7256614,18.80040164,2.979057592,138.5243168,396.2909281,11453,0.87210784,572.3574311,98.57389716,38.50542858,1,0,1,0,0,0,0,0
613,12.73501229,103.2895577,9.987223587,2.919018405,171.304914,291.8878378,8140,0.755967251,434.8599564,89.21300882,34.84883157,0,1,0,0,0,0,0,0
632,9.756698821,103.0385852,8.144962487,2.697860963,902.8545016,362.9086281,3732,0.823419457,317.747258,56.30380909,21.99367543,0,1,0,0,0,0,0,0
634,13.8036743,14.79588977,10.28164409,3.68273717,635.5888214,367.2578234,6423,0.816792768,451.9726548,85.33657376,33.33459913,0,0,0,0,0,0,0,0
636,15.39559035,13.07061831,8.529797092,2.950479233,501.0599137,352.8381531,6259,0.935965966,522.8010819,64.85463755,25.33384279,0,0,0,0,0,0,0,0
656,7.463629403,10.40760592,6.610770801,2.417091837,683.4978305,435.0825676,7836,0.771696564,558.156421,89.56199112,34.98515278,0,0,0,0,0,0,0,0
662,11.91919553,15.23753421,10.58871831,3.160523187,248.5544448,417.8232774,8403,0.678757472,630.9259736,124.2662391,48.54149964,0,0,0,0,0,0,0,0
685,15.45902983,90.22861357,8.408554572,2.576104746,850.7484431,328.3629957,6102,0.707958711,434.0315293,76.92886264,30.05033697,0,1,0,0,0,0,0,0
701,22.40372109,18.53837019,25.68506475,3.15602035,289.5794831,328.1161568,17683,0.719893098,702.5239533,127.7154751,49.88885744,1,0,1,0,0,0,0,0
708,11.47233247,11.76156312,8.390474737,2.962228157,439.0710579,446.540719,26204,0.736808338,839.0508653,166.280557,64.95334259,0,0,0,0,0,0,0,0
715,30.00417537,31.53227879,11.21832343,3.421348315,784.2365505,315.8480006,12454,0.890102942,626.2985566,93.93020462,36.69148618,1,1,0,0,0,0,0,0
739,10.51258464,22.56356203,7.138239428,2.523627075,842.1793791,414.4616073,7827,0.798781535,492.5584412,80.74813102,31.54223868,0,0,0,0,0,0,0,0
743,16.22460726,72.33809588,9.877166847,2.941096818,75.94318797,471.5153711,14768,0.561071445,608.1147904,127.7023867,49.88374482,0,1,0,0,0,0,0,0
841,10.62431312,12.54805746,10.72582667,3.195568401,824.9171889,494.4430734,10373,0.802138065,634.3401872,103.979444,40.61697031,0,0,0,0,0,0,0,0
